SECURITY_ID,SYMBOL
521070,BSE:ALOKINDS-A
521082,SPENTEX INDS
521109,BSE:NAGREEKEXP-B
521163,BSE:ZODIACLOTH-B
521180,BSE:SUPERSPIN-B
521194,BSE:SILINV-B
521200,BSE:SURYALAXMI-B
521220,BSE:DAMODARIND-B
521248,BSE:KITEX-A
522029,BSE:WINDMACHIN-B
522034,BSE:SHANTIGEAR-B
522064,BSE:HONDAPOWER-B
522073,BSE:HITECHGEAR-T
522074,BSE:ELGIEQUIP-A
522113,BSE:TIMKEN-A
522163,BSE:DIACABS-B
522205,BSE:PRAJIND-A
522217,BSE:GUJAPOLLO-B
522241,BSE:MMFL-B
522249,BSE:MAYURUNIQ-B
522261,BSE:DOLPHIN-B
522263,JMC PROJECTS
522275,BSE:GVTD-A
522285,BSE:JAYNECOIND-B
522287,BSE:KPIL-A
522295,BSE:CONTROLPR-B
523011,BSE:WEIZMANIND-B
523127,BSE:EIHAHOTELS-B
523204,BSE:ABAN-T
523207,BSE:KOKUYOCMLN-B
523261,BSE:VENKEYS-B
523269,BSE:ADVANIHOTR-B
523283,BSE:SUPERHOUSE-B
523319,BSE:BALMLAWRIE-B
523367,BSE:DCMSHRIRAM-A
523371,BSE:MAWANASUG-B
523385,BSE:NILKAMAL-B
523391,BSE:NAHARPOLY-B
523395,BSE:3MINDIA-A
523398,BSE:BOSCH-HCIL-B
523405,BSE:JMFINANCIL-A
523445,BSE:RIIL-B
523457,BSE:LINDEINDIA-A
523539,BSE:PRECWIRE-B
523574,BSE:FEL-Z
523592,JENSON &NICH
523598,BSE:SCI-A
523610,BSE:ITI-A
523618,BSE:DREDGECORP-B
523630,BSE:NFL-B
523642,BSE:PIIND-A
523648,BSE:PLASTIBLEN-B
523694,BSE:APCOTEXIND-B
523704,BSE:MASTEK-A
523716,BSE:ASHIANA-B
523724,VIJAY SHA.BU
523736,BSE:DVL-B
523756,SREIINFRA   
523792,BSE:MAZDA-B
523796,BSE:VHLTD-T
523828,BSE:MENONBE-B
523838,BSE:SIMPLEXINF-B
523890,DS.KULKARNI 
524000,BSE:POONAWALLA-A
524019,BSE:KINGFA-B
524051,BSE:POLYPLEX-B
524075,BSE:ALBERTDAVD-B
524084,MONSANTO (I)
524109,BSE:KABRAEXTRU-B
524129,BSE:VINYLINDIA-B
524164,BSE:IOLCP-B
524200,BSE:VINATIORGA-A
